idx	run_id	config_path	out_dir	topology	arch	target_L0	coeff	calib_achieved_L0	seed
10	circle_relu_l1_t32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t32_seed1	circle	relu_l1	32	0.0005	31.49	1
11	circle_relu_l1_t32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t32_seed2	circle	relu_l1	32	0.0005	31.49	2
12	circle_jumprelu_t08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t08_seed0	circle	jumprelu	8	0.0004	8.29	0
13	circle_jumprelu_t08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t08_seed1	circle	jumprelu	8	0.0004	8.29	1
14	circle_jumprelu_t08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t08_seed2	circle	jumprelu	8	0.0004	8.29	2
15	circle_jumprelu_t16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t16_seed0	circle	jumprelu	16	0.0003	18.81	0
16	circle_jumprelu_t16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t16_seed1	circle	jumprelu	16	0.0003	18.81	1
17	circle_jumprelu_t16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t16_seed2	circle	jumprelu	16	0.0003	18.81	2
18	circle_jumprelu_t24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t24_seed0	circle	jumprelu	24	0.0002	24.91	0
19	circle_jumprelu_t24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t24_seed1	circle	jumprelu	24	0.0002	24.91	1
