idx	topology	arch	coeff	out_path
22	helix	relu_l1	0.003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c3e-03_s0.json
23	helix	relu_l1	0.01	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c1e-02_s0.json
24	helix	relu_l1	0.03	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c3e-02_s0.json
25	helix	relu_l1	0.1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c1e-01_s0.json
26	helix	relu_l1	0.3	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c3e-01_s0.json
27	helix	relu_l1	1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c1e+00_s0.json
28	helix	relu_l1	3	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_relu_l1_c3e+00_s0.json
29	helix	jumprelu	1e-05	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c1e-05_s0.json
30	helix	jumprelu	3e-05	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c3e-05_s0.json
31	helix	jumprelu	0.0001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c1e-04_s0.json
32	helix	jumprelu	0.0003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c3e-04_s0.json
33	helix	jumprelu	0.001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c1e-03_s0.json
34	helix	jumprelu	0.003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c3e-03_s0.json
35	helix	jumprelu	0.01	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c1e-02_s0.json
36	helix	jumprelu	0.03	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c3e-02_s0.json
37	helix	jumprelu	0.1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/helix_jumprelu_c1e-01_s0.json
38	sphere	relu_l1	0.0001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c1e-04_s0.json
39	sphere	relu_l1	0.0003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c3e-04_s0.json
40	sphere	relu_l1	0.001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c1e-03_s0.json
41	sphere	relu_l1	0.003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c3e-03_s0.json
42	sphere	relu_l1	0.01	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c1e-02_s0.json
43	sphere	relu_l1	0.03	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c3e-02_s0.json
44	sphere	relu_l1	0.1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c1e-01_s0.json
45	sphere	relu_l1	0.3	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c3e-01_s0.json
46	sphere	relu_l1	1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c1e+00_s0.json
47	sphere	relu_l1	3	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_relu_l1_c3e+00_s0.json
48	sphere	jumprelu	1e-05	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c1e-05_s0.json
49	sphere	jumprelu	3e-05	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c3e-05_s0.json
50	sphere	jumprelu	0.0001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c1e-04_s0.json
51	sphere	jumprelu	0.0003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c3e-04_s0.json
52	sphere	jumprelu	0.001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c1e-03_s0.json
53	sphere	jumprelu	0.003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c3e-03_s0.json
54	sphere	jumprelu	0.01	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c1e-02_s0.json
55	sphere	jumprelu	0.03	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c3e-02_s0.json
56	sphere	jumprelu	0.1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/sphere_jumprelu_c1e-01_s0.json
57	torus	relu_l1	0.0001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c1e-04_s0.json
58	torus	relu_l1	0.0003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c3e-04_s0.json
59	torus	relu_l1	0.001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c1e-03_s0.json
60	torus	relu_l1	0.003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c3e-03_s0.json
61	torus	relu_l1	0.01	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c1e-02_s0.json
62	torus	relu_l1	0.03	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c3e-02_s0.json
63	torus	relu_l1	0.1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c1e-01_s0.json
64	torus	relu_l1	0.3	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c3e-01_s0.json
65	torus	relu_l1	1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c1e+00_s0.json
66	torus	relu_l1	3	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_relu_l1_c3e+00_s0.json
67	torus	jumprelu	1e-05	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c1e-05_s0.json
68	torus	jumprelu	3e-05	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c3e-05_s0.json
69	torus	jumprelu	0.0001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c1e-04_s0.json
70	torus	jumprelu	0.0003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c3e-04_s0.json
71	torus	jumprelu	0.001	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c1e-03_s0.json
72	torus	jumprelu	0.003	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c3e-03_s0.json
73	torus	jumprelu	0.01	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c1e-02_s0.json
74	torus	jumprelu	0.03	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c3e-02_s0.json
75	torus	jumprelu	0.1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/calibration/torus_jumprelu_c1e-01_s0.json
