idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
77	torus_topk_k06_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k06_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k06_seed2	torus	topk	k	6	2
78	torus_topk_k08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k08_seed0	torus	topk	k	8	0
79	torus_topk_k08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k08_seed1	torus	topk	k	8	1
80	torus_topk_k08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_topk_k08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k08_seed2	torus	topk	k	8	2
81	torus_jumprelu_l0_1e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_1e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_1e-03_seed0	torus	jumprelu	l0_coeff	0.001	0
82	torus_jumprelu_l0_1e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_1e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_1e-03_seed1	torus	jumprelu	l0_coeff	0.001	1
83	torus_jumprelu_l0_1e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_1e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_1e-03_seed2	torus	jumprelu	l0_coeff	0.001	2
84	torus_jumprelu_l0_2e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_2e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_2e-03_seed0	torus	jumprelu	l0_coeff	0.002	0
85	torus_jumprelu_l0_2e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_2e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_2e-03_seed1	torus	jumprelu	l0_coeff	0.002	1
86	torus_jumprelu_l0_2e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/torus_jumprelu_l0_2e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/jumprelu/l0_2e-03_seed2	torus	jumprelu	l0_coeff	0.002	2
